"filename", "language", "JSON", "JavaScript", "HTML", "TypeScript", "SCSS", "XML", "comment", "blank", "total"
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/smaller/smaller.module.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 5, 25
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/smaller/smaller.page.html", "HTML", 0, 0, 48, 0, 0, 0, 6, 25, 79
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/smaller/smaller.page.scss", "SCSS", 0, 0, 0, 0, 71, 0, 10, 21, 102
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/smaller/smaller.page.spec.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 6, 25
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/smaller/smaller.page.ts", "TypeScript", 0, 0, 0, 198, 0, 0, 60, 32, 290
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/tarot-card-detail/tarot-card-detail-routing.module.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 4, 18
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/tarot-card-detail/tarot-card-detail.module.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 2, 18
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/tarot-card-detail/tarot-card-detail.page.html", "HTML", 0, 0, 27, 0, 0, 0, 0, 3, 30
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/tarot-card-detail/tarot-card-detail.page.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/tarot-card-detail/tarot-card-detail.page.spec.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 6, 25
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/tarot-card-detail/tarot-card-detail.page.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 1, 5, 28
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/tarot-deck-routing.module.ts", "TypeScript", 0, 0, 0, 62, 0, 0, 0, 3, 65
"/Users/iknowindigo/dev/TarotWork/SocialTarot/src/app/tarot-deck/tarot-deck.module.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 7, 27
